Modality,Operator,PSNR,FOM
mri,Sobel,26.610909283365377,0.5266263548713095
mri,Prewitt,26.56198733668215,0.5336419093716069
mri,Kirsch,26.57870911138194,0.5475176429702355
mri,LoG,25.8368639794756,0.5099318501765088
mri,Roberts,26.71164529032528,0.5053245613186319
mri,Frei-Chen,26.587306611334768,0.5304400844489917
mri,Sobel,26.828996369202734,0.5520168203602823
mri,Prewitt,26.821606962502162,0.5590477190963999
mri,Kirsch,26.822614405542765,0.5728789656308638
mri,LoG,26.241094338624773,0.5149496609040579
mri,Roberts,26.842998645120502,0.5308798969425189
mri,Frei-Chen,26.82474642496306,0.5553148199451712
mri,Sobel,26.261385360802052,0.5568449499210356
mri,Prewitt,26.24679081795624,0.5644790883055768
mri,Kirsch,26.22760519543612,0.5768507075393535
mri,LoG,25.523059524535437,0.5240421418852454
mri,Roberts,26.31199300353259,0.5330844901307714
mri,Frei-Chen,26.253486589188405,0.5602881764103167
mri,Sobel,25.619578402272406,0.6123244852302872
mri,Prewitt,25.6369200391742,0.6183817531055642
mri,Kirsch,25.79008379247973,0.6296758248686494
mri,LoG,24.998783225153023,0.5724682313167274
mri,Roberts,25.651694467595526,0.5955932139988879
mri,Frei-Chen,25.628004102197607,0.6151784162262423
mri,Sobel,25.134480773589964,0.7111191987060765
mri,Prewitt,25.092545925146187,0.7188131887456258
mri,Kirsch,25.158056594789613,0.7280165026854611
mri,LoG,24.497884628768773,0.6647974286767602
mri,Roberts,25.13360384525663,0.6892961360508167
mri,Frei-Chen,25.112935951228742,0.7146824362892669
mri,Sobel,24.274588667245624,0.7787748884465858
mri,Prewitt,24.232400710471666,0.7858793816995824
mri,Kirsch,24.27152930707155,0.7906964247024086
mri,LoG,23.431461932932724,0.7212551874769448
mri,Roberts,24.228159388061847,0.75248180994991
mri,Frei-Chen,24.252982988424037,0.7813554107937191
mri,Sobel,24.90893546045859,0.716461920150529
mri,Prewitt,24.87787063018951,0.7223627269206834
mri,Kirsch,25.06500186483784,0.7322785203332878
mri,LoG,24.447693069780723,0.6647403081661806
mri,Roberts,24.965411872219182,0.6863486666392283
mri,Frei-Chen,24.892520527198904,0.7196375375041433
mri,Sobel,26.08676205376525,0.6420529395000039
mri,Prewitt,26.068021103350123,0.6505283070175685
mri,Kirsch,26.152937532949334,0.6564496284926704
mri,LoG,25.352484552728832,0.6030201287222068
mri,Roberts,26.07442222316792,0.6140879622278385
mri,Frei-Chen,26.077093091073337,0.6457900859767032
mri,Sobel,25.105091017097536,0.7280139630471166
mri,Prewitt,25.042880527752583,0.7361235399558019
mri,Kirsch,25.071971412382517,0.7448201518631017
mri,LoG,24.625201754793853,0.6823605497338359
mri,Roberts,25.16054345925117,0.700439622153234
mri,Frei-Chen,25.07284084574341,0.7326965693421196
mri,Sobel,25.322014308335937,0.6833803975466487
mri,Prewitt,25.321305085175144,0.6904442965641788
mri,Kirsch,25.296067210369774,0.700412468803832
mri,LoG,24.44848706500966,0.6488240091631164
mri,Roberts,25.171584118268974,0.655683788782501
mri,Frei-Chen,25.336965982024875,0.6868958345489747
mri,Sobel,24.95168178758115,0.7146341779766126
mri,Prewitt,24.93813510921402,0.7198821814777618
mri,Kirsch,24.879844007276812,0.7320852393284515
mri,LoG,23.66520649625926,0.6705795062692992
mri,Roberts,24.730617655223437,0.685725899146192
mri,Frei-Chen,24.955989659008154,0.7181159308078923
mri,Sobel,25.239841077598996,0.6946561406897412
mri,Prewitt,25.252169330000687,0.7022823439121852
mri,Kirsch,25.214688695089578,0.7104170747176337
mri,LoG,24.114632886399416,0.6530131924306598
mri,Roberts,25.13512877798489,0.6666712786584705
mri,Frei-Chen,25.246242268925254,0.6979082792272104
mri,Sobel,24.61791472352358,0.7471792076264424
mri,Prewitt,24.574113139549855,0.7541669343460369
mri,Kirsch,24.59820908479969,0.7604402572883746
mri,LoG,23.459508962616212,0.6986189265407536
mri,Roberts,24.57210807305932,0.7262419102584674
mri,Frei-Chen,24.595329741950156,0.7500117928827253
mri,Sobel,24.654002727645874,0.7715916169674581
mri,Prewitt,24.6778467993687,0.7778239712256189
mri,Kirsch,24.6169879285773,0.7851795575018181
mri,LoG,23.4893107122305,0.7159408681187212
mri,Roberts,24.569066423339024,0.7449852668316099
mri,Frei-Chen,24.666554855680122,0.7740306681495893
mri,Sobel,23.50117961448472,0.7167215146713951
mri,Prewitt,23.499201151541044,0.724980046700704
mri,Kirsch,23.448576765820587,0.7330746768639864
mri,LoG,22.523817036449735,0.6708089286250212
mri,Roberts,23.42624643795237,0.6819753835502876
mri,Frei-Chen,23.505082233301323,0.7210272448025836
mri,Sobel,23.127312938737216,0.7331727774142515
mri,Prewitt,23.1272935036397,0.7423508205119248
mri,Kirsch,23.095258368396777,0.7521293464685125
mri,LoG,22.409524792928764,0.6777355803972162
mri,Roberts,23.112055616330114,0.6973084805197206
mri,Frei-Chen,23.126521869789805,0.7376551671904276
mri,Sobel,23.210634630701467,0.7328726167021663
mri,Prewitt,23.208233485970418,0.739974624523251
mri,Kirsch,23.096511192646503,0.7510503131603011
mri,LoG,22.37269242921771,0.6793219204057857
mri,Roberts,23.12688375411881,0.6937765240403904
mri,Frei-Chen,23.208980129703196,0.736819745153783
mri,Sobel,24.36860721412834,0.6545018389474766
mri,Prewitt,24.327434006321592,0.6617704724466801
mri,Kirsch,24.340520078943126,0.6705325048328076
mri,LoG,23.25430726019887,0.6179002305670058
mri,Roberts,24.33652385681803,0.6271219426189105
mri,Frei-Chen,24.346917584799673,0.6574894364892481
mri,Sobel,24.146258978297503,0.6824552214424762
mri,Prewitt,24.120531442840164,0.6886916651244764
mri,Kirsch,24.220122223092886,0.700140875747986
mri,LoG,23.0808375038696,0.6391369619088791
mri,Roberts,24.053137061694795,0.649789709248231
mri,Frei-Chen,24.132539892654457,0.6865501316593009
mri,Sobel,24.34053971964865,0.6758712542822037
mri,Prewitt,24.290478201662932,0.6851034588749528
mri,Kirsch,24.388227981748265,0.6925043731557378
mri,LoG,23.18658529673374,0.6431171833520057
mri,Roberts,24.428650234022488,0.6486766341632958
mri,Frei-Chen,24.31428781971043,0.6805541607874148
mri,Sobel,25.585019782881055,0.5312242814764131
mri,Prewitt,25.549059951206377,0.5407342689737752
mri,Kirsch,25.69495657973348,0.5524969084308595
mri,LoG,24.63192875948101,0.5267298415851436
mri,Roberts,25.692969385222973,0.5129588710514571
mri,Frei-Chen,25.56587261012369,0.5361734453325699
mri,Sobel,24.364450282564615,0.6910846628952929
mri,Prewitt,24.35144067072867,0.6983118768530479
mri,Kirsch,24.43797647625086,0.7081711868887152
mri,LoG,23.26001463378848,0.645284137893576
mri,Roberts,24.45540113446772,0.6612556922021394
mri,Frei-Chen,24.35710467519458,0.695295596588772
mri,Sobel,24.78726895165517,0.6561558341902709
mri,Prewitt,24.77235342589156,0.664155433832714
mri,Kirsch,24.744753065792636,0.675027432269194
mri,LoG,23.578520111889134,0.6239796825971635
mri,Roberts,24.74590466730103,0.6278101593094968
mri,Frei-Chen,24.77949211125373,0.6611360589181314
mri,Sobel,25.433392284266972,0.6421832698903673
mri,Prewitt,25.365311154188607,0.6497863546382536
mri,Kirsch,25.43193138988029,0.6620961127004422
mri,LoG,24.496241843663867,0.6122343069574594
mri,Roberts,25.34750235942003,0.6152170126152965
mri,Frei-Chen,25.398099075403945,0.6458125159309829
mri,Sobel,26.020624275089297,0.5515517083910999
mri,Prewitt,25.972832674709394,0.5588925277104798
mri,Kirsch,25.931670360623524,0.5713378178064924
mri,LoG,25.03408049026484,0.5344431424291305
mri,Roberts,26.028418956111903,0.5277147879698771
mri,Frei-Chen,25.995723154324054,0.5548274162484651
mri,Sobel,26.546639856653957,0.4984766237609215
mri,Prewitt,26.493092489884965,0.5077243466586331
mri,Kirsch,26.473961323016187,0.5224298790491725
mri,LoG,25.46227159723149,0.4857185321542382
mri,Roberts,26.427593802695405,0.47408495407282913
mri,Frei-Chen,26.51873349724681,0.5031975573281576
mri,Sobel,26.433562890018546,0.5044396342147216
mri,Prewitt,26.417887910915027,0.5142804335264297
mri,Kirsch,26.428156879646036,0.5277872162292273
mri,LoG,25.508223829870165,0.48997457514808573
mri,Roberts,26.31635924619227,0.4768502622536699
mri,Frei-Chen,26.42496373177478,0.5092086623360613
mri,Sobel,26.906394004430425,0.43655535965799436
mri,Prewitt,26.875796883260655,0.4465274597890881
mri,Kirsch,26.715001111017816,0.4573215506535411
mri,LoG,25.90928162080088,0.43472924078623015
mri,Roberts,26.761942874067127,0.4069592404009086
mri,Frei-Chen,26.89017051364777,0.4421518556631873
mri,Sobel,24.415881322011135,0.5994836265783615
mri,Prewitt,24.423714469004118,0.6093239414033222
mri,Kirsch,24.49679530134425,0.6256235825944312
mri,LoG,23.709372798423004,0.5695684282766452
